game,video_count,total_views,avg_views,total_likes,avg_likes,total_comments,avg_comments,engagement_rate
Minecraft,10,2434565,243456.5,27642,2764.2,1579,157.9,0.012002554871198756
Fortnite,10,446323,44632.3,18395,1839.5,1597,159.7,0.04479267257120964
Marvel Rivals,10,82176,8217.6,3874,387.4,300,30.0,0.050793419003115264
Valorant,10,34463,3446.3,1448,144.8,54,5.4,0.043582973043553956
Counter Strike 2,10,27780,2778.0,865,86.5,44,4.4,0.032721382289416845
Apex Legends,10,14198,1419.8,597,59.7,29,2.9,0.044090717002394704
League Of Legends,10,11145,1114.5,417,41.7,9,0.9,0.03822341857335128
Rocket League,10,7918,791.8,357,35.7,14,1.4,0.046855266481434704
